Day,Time Slot,Hall,Course & Professor
Saturday,12,2,Computer Drawing Systems-> Dr.Mohamed Saeed
Saturday,10,6B,Internet Application->  Dr.Hanan Fahmy
Saturday,14,1,EA-> Dr.Amr Ghonim
Saturday,16,6B,Robotics-> Dr.Hossam Shmardn
Saturday,8,15A,Signals-> Dr.Magid Wafie
Sunday,10,15A,Internet Application->  Dr.Hanan Fahmy
Sunday,8,1,Sw1-> Dr.Amr Ghonim
Sunday,8,6B,OS1-> Dr.Ahmed Hesham
Sunday,12,6B,OR-> Dr.Safaa Magdi
Sunday,14,6A,Management of information centers-> Dr.Abdallh Yassin
Sunday,12,6A,Elctronics-> Dr.Azza Mohamed
Sunday,14,1,Netwroks-> Dr.Rowida Sadik
Sunday,14,2,Algorithms-> Dr.Wassam El Bahadi
Sunday,12,1,Administrative information system-> Dr.Ahmed El Sayed
Sunday,8,15A,Computer Programming-> Dr.Soha Ahmed
Sunday,12,17B,Speech Processing-> Dr.Yasser Hanafy
Sunday,8,17B,SA2-> Dr.Wael Abbas
Sunday,12,18Z,Accounting-> Dr.Siliva
Monday,10,6B,Math2-> Dr.Amany Mostafa
Monday,12,17B,SW2-> Dr.Salwa Osama
Monday,8,6A,Networks Security-> Dr.Abdallh Yassin
Monday,16,17B,Distributed Systems and Cloud-> Dr.Islam Gamal
Monday,12,6B,OS1-> Dr.Ahmed Hesham
Monday,8,15A,Algorithms-> Dr.Mohamed Saeed
Monday,16,6B,Sw1-> Dr.Amr Ghonim
Monday,12,6A,Elctronics-> Dr.Azza Mohamed
Monday,14,1,Math2-> Dr.Doaa Gamal
Monday,14,2,Signals-> Dr.Hossam Shmardn
Tuesday,14,6B,Statistics2-> Dr.Ahmed Mahsoob
Tuesday,8,6A,AML-> Dr.Islam Gamal
Wednesday,14,6A,Theory of Scientific Calculations-> Dr.Ahmed Hesham
Wednesday,12,1,Translators-> Dr.Soha Ahmed
Wednesday,10,17B,SW2-> Dr.Salwa Osama
Wednesday,14,15A,Pattern Recognition-> Dr.Yasser Hanafy
Wednesday,8,2,Networks Security-> Dr.Abdallh Yassin
Wednesday,14,18Z,Statistics-> Dr.Ahmed Mahsob
Wednesday,12,2,NLP-> Dr.Islam Gamal
Wednesday,8,6A,Microprocessing-> Dr.Hossam Shmardn
Wednesday,16,1,Discrete Mathematics-> Dr.Ibrahim Abdl Latif
Wednesday,14,2,OR-> Dr.Helal Ahmed
Wednesday,10,2,English2-> Dr.Engy Salah
Wednesday,10,18Z,IT-> Dr.Mohamed El Kholi
Thursday,12,18Z,Discrete Mathematics-> Dr.Ibrahim Abdl Latif
Thursday,10,15A,Netwroks-> Dr.Rowida Sadik
Thursday,16,17B,Deccision Support-> Dr.Mohamed Ali
