Day,Time Slot,Hall,Course & Professor
Tuesday,14,6B,Math2-> Dr.Amany Mostafa
Tuesday,12,6B,Elctronics-> Dr.Azza Mohamed
Monday,8,2,Discrete Mathematics-> Dr.Ibrahim Abdl Latif
Thursday,14,1,IT-> Dr.Mohamed El Kholi
Monday,10,15A,Computer Programming-> Dr.Soha Ahmed
Thursday,8,17B,Statistics-> Dr.Ahmed Mahsob
Wednesday,10,1,Math2-> Dr.Doaa Gamal
Wednesday,8,17B,Discrete Mathematics-> Dr.Ibrahim Abdl Latif
Monday,14,15A,Elctronics-> Dr.Azza Mohamed
Thursday,12,15A,Netwroks-> Dr.Rowida Sadik
Tuesday,14,1,OR-> Dr.Helal Ahmed
Monday,14,6A,Signals-> Dr.Magid Wafie
Wednesday,10,6A,Sw1-> Dr.Amr Ghonim
Tuesday,8,6A,Algorithms-> Dr.Mohamed Saeed
Wednesday,14,15A,OS1-> Dr.Ahmed Hesham
Tuesday,16,1,Sw1-> Dr.Amr Ghonim
Thursday,12,6B,Algorithms-> Dr.Wassam El Bahadi
Monday,8,1,OS1-> Dr.Ahmed Hesham
Wednesday,16,15A,OR-> Dr.Safaa Magdi
Sunday,14,15A,Netwroks-> Dr.Rowida Sadik
Thursday,8,18Z,Signals-> Dr.Hossam Shmardn
Wednesday,16,2,Internet Application->  Dr.Hanan Fahmy
Wednesday,14,18Z,Deccision Support-> Dr.Mohamed Ali
Monday,10,6B,SA2-> Dr.Wael Abbas
Sunday,14,18Z,Accounting-> Dr.Siliva
Tuesday,16,6B,SW2-> Dr.Salwa Osama
Tuesday,10,1,English2-> Dr.Engy Salah
Wednesday,12,2,Management of information centers-> Dr.Abdallh Yassin
Tuesday,12,15A,Networks Security-> Dr.Abdallh Yassin
Monday,10,17B,Statistics2-> Dr.Ahmed Mahsoob
Thursday,10,18Z,Administrative information system-> Dr.Ahmed El Sayed
Wednesday,14,6B,Microprocessing-> Dr.Hossam Shmardn
Tuesday,8,6B,Robotics-> Dr.Hossam Shmardn
Tuesday,8,6A,EA-> Dr.Amr Ghonim
Sunday,12,6B,NLP-> Dr.Islam Gamal
Wednesday,16,18Z,Speech Processing-> Dr.Yasser Hanafy
Monday,8,18Z,AML-> Dr.Islam Gamal
Tuesday,14,15A,Internet Application->  Dr.Hanan Fahmy
Monday,16,2,Networks Security-> Dr.Abdallh Yassin
Monday,14,2,Pattern Recognition-> Dr.Yasser Hanafy
Sunday,14,2,Computer Drawing Systems-> Dr.Mohamed Saeed
Sunday,10,2,SW2-> Dr.Salwa Osama
Tuesday,16,6A,Translators-> Dr.Soha Ahmed
Tuesday,12,1,Theory of Scientific Calculations-> Dr.Ahmed Hesham
Monday,8,6B,Distributed Systems and Cloud-> Dr.Islam Gamal
